,gameId,playId,frame.id,OL_C_x,OL_C_y,OL_LG_x,OL_LG_y,OL_LT_x,OL_LT_y,OL_RG_x,OL_RG_y,OL_RT_x,OL_RT_y,X_Match_LT,Y_Match_LT,X_Match_LG,Y_Match_LG,X_Match_C,Y_Match_C,X_Match_RG,Y_Match_RG,X_Match_RT,Y_Match_RT,Off_1_x,Off_1_y,Off_2_x,Off_2_y,Off_3_x,Off_3_y,Off_4_x,Off_4_y,Off_5_x,Off_5_y,Off_6_x,Off_6_y,Def_1_x,Def_1_y,Def_2_x,Def_2_y,Def_3_x,Def_3_y,Def_4_x,Def_4_y,Def_5_x,Def_5_y,Def_6_x,Def_6_y,Def_7_x,Def_7_y,Def_8_x,Def_8_y,Def_9_x,Def_9_y,Def_10_x,Def_10_y,Def_11_x,Def_11_y,PlayResult,sack.ind,PassResult,num_vec,NetNoise,Predicted,OL_C_leverage,OL_C_score,OL_LG_leverage,OL_LG_score,OL_LT_leverage,OL_LT_score,OL_RG_leverage,OL_RG_score,OL_RT_leverage,OL_RT_score
557087,2017101600.0,2928.0,1.0,85.51,23.73,85.23,25.61,85.17,27.01,84.98,22.04,84.86,20.28,87.47,28.67,86.84,23.3,86.99,25.72,86.94,11.74,86.71,18.63,78.65,23.84,85.24,11.68,84.36,28.18,84.56,23.63,85.13,30.5,84.25,32.13,86.84,23.3,86.99,25.72,90.25,21.33,86.71,18.63,87.47,28.67,91.84,27.91,88.82,31.74,86.94,11.74,97.34,19.95,96.71,29.74,93.43,34.77,5.0,0.0,,557088.0,-3.7273273,2.4956066608428955,0.07717917273847275,,0.07010392129799095,,0.09233644075540877,,0.04484630657667322,,0.08975299631087032,
557088,2017101600.0,2928.0,2.0,85.5,23.73,85.22,25.61,85.12,27.02,84.99,22.03,84.86,20.29,87.48,28.65,86.88,23.33,86.97,25.71,86.94,11.74,86.69,18.72,78.66,23.85,85.24,11.68,84.36,28.18,84.57,23.63,85.13,30.5,84.25,32.13,86.88,23.33,86.97,25.71,86.69,18.72,90.18,21.32,87.48,28.65,91.84,27.91,88.82,31.75,86.94,11.74,97.34,19.94,96.71,29.74,93.43,34.78,5.0,0.0,,557089.0,-3.7259643,2.2333924770355225,0.01863336911491742,0.0012811611104778713,0.017052179474793754,0.0011724443957107512,0.02233074791764866,0.0015353791160114074,0.011052392060703384,0.0007599213431880921,0.021649470387190756,0.0014885370086028062
557089,2017101600.0,2928.0,3.0,85.5,23.73,85.22,25.61,85.09,27.02,84.99,22.03,84.86,20.29,87.48,28.65,86.85,23.3,86.96,25.68,86.94,11.74,86.65,18.72,78.66,23.84,85.24,11.68,84.36,28.18,84.57,23.64,85.13,30.5,84.26,32.12,86.85,23.3,86.96,25.68,86.65,18.72,90.14,21.31,87.48,28.65,91.84,27.91,88.86,31.82,86.94,11.74,97.3,19.89,96.71,29.74,93.44,34.77,5.0,0.0,,557090.0,-3.7260585,2.229625940322876,0.017534385758683945,2.4875680297529095e-07,0.01619395784678331,2.2974042187291273e-07,0.02104155737417644,2.985123410684075e-07,0.010389717072705253,1.4739682577953843e-07,0.020373422119602445,2.890336406354256e-07
557090,2017101600.0,2928.0,4.0,85.5,23.73,85.21,25.61,85.06,27.02,84.99,22.03,84.86,20.29,87.47,28.65,86.83,23.27,86.96,25.63,86.93,11.74,86.6,18.69,78.66,23.85,85.24,11.68,84.36,28.18,84.58,23.64,85.13,30.5,84.26,32.12,86.83,23.27,86.96,25.63,90.1,21.25,86.6,18.69,87.47,28.65,91.84,27.91,88.9,31.88,86.93,11.74,97.3,19.87,96.71,29.74,93.44,34.76,5.0,0.0,,557091.0,-3.727188,2.453169584274292,0.06974281795621078,0.0034851714130137135,0.06266530182751756,0.003131495470318764,0.0834641301746398,0.004170849544383884,0.04055623372762814,0.0020266664088018117,0.0809444243390005,0.004044935407202224
557091,2017101600.0,2928.0,5.0,85.5,23.73,85.21,25.61,85.05,27.01,84.99,22.03,84.86,20.29,87.46,28.66,86.8,23.26,86.94,25.65,86.93,11.74,86.55,18.64,78.67,23.84,85.25,11.68,84.36,28.18,84.58,23.65,85.13,30.5,84.26,32.12,86.8,23.26,86.94,25.65,90.07,21.22,86.55,18.64,87.46,28.66,91.85,27.91,88.93,31.93,86.93,11.74,97.3,19.86,96.71,29.74,93.45,34.76,5.0,0.0,,557092.0,-3.7271419,2.442401885986328,0.06783454809947055,7.864963152892161e-06,0.06070214280043641,7.038008357142087e-06,0.08107419838502629,9.400012247645206e-06,0.039336565689651146,4.560812276021384e-06,0.07856147238103173,9.108678436358484e-06
557092,2017101600.0,2928.0,6.0,85.49,23.73,85.21,25.61,85.02,26.99,84.99,22.02,84.86,20.29,87.44,28.68,86.78,23.25,86.93,25.63,86.93,11.74,86.51,18.67,78.69,23.83,85.25,11.68,84.37,28.18,84.58,23.66,85.14,30.5,84.26,32.12,86.78,23.25,86.93,25.63,90.03,21.21,86.51,18.67,87.44,28.68,91.85,27.91,88.97,32.02,86.93,11.74,97.31,19.87,96.71,29.74,93.46,34.76,5.0,0.0,,557093.0,-3.7270763,2.4316158294677734,0.06579333378432647,7.654331660605097e-06,0.05865419289800246,6.823771040362928e-06,0.07861674326999375,9.146194491949107e-06,0.037934224116436994,4.413230276896289e-06,0.07613344745075863,8.857290301835734e-06
557093,2017101600.0,2928.0,7.0,85.49,23.73,85.21,25.61,84.98,26.98,85.0,22.02,84.86,20.29,87.42,28.68,86.77,23.24,86.92,25.66,86.93,11.74,86.49,18.64,78.7,23.83,85.25,11.68,84.37,28.18,84.59,23.68,85.14,30.5,84.26,32.12,86.77,23.24,86.92,25.66,90.0,21.15,86.49,18.64,87.42,28.68,91.85,27.91,89.01,32.1,86.93,11.74,97.31,19.87,96.71,29.74,93.46,34.75,5.0,0.0,,557094.0,-3.7270195,2.4235899448394775,0.06428990915712199,4.141223187621192e-06,0.057011884790515686,3.672410528492972e-06,0.07684100978771312,4.949700126584373e-06,0.03698512347186226,2.3823902215257905e-06,0.07429393780512236,4.785630932940527e-06
557094,2017101600.0,2928.0,8.0,85.49,23.73,85.21,25.6,84.99,26.99,85.0,22.02,84.86,20.29,87.41,28.69,86.75,23.23,86.92,25.65,86.93,11.75,86.54,18.43,78.71,23.83,85.25,11.68,84.37,28.18,84.6,23.7,85.14,30.5,84.26,32.12,86.75,23.23,86.92,25.65,89.98,21.12,87.41,28.69,86.54,18.43,91.85,27.91,89.03,32.11,86.93,11.75,97.29,19.89,96.71,29.74,93.47,34.75,5.0,0.0,,557095.0,-3.7447605,2.310619831085205,0.03440547794952533,0.0004390911940395858,0.021024274289580824,0.00026831697310442885,0.0431712520840417,0.0005509621651986773,0.015382341023069259,0.00019631322944713717,0.03994286163064608,0.0005097606501060193
557095,2017101600.0,2928.0,9.0,85.48,23.74,85.2,25.6,85.0,27.0,85.0,22.01,84.86,20.29,87.39,28.68,86.74,23.23,86.91,25.66,86.93,11.75,86.58,18.28,78.72,23.86,85.25,11.67,84.37,28.18,84.61,23.72,85.14,30.5,84.26,32.12,86.74,23.23,86.91,25.66,89.96,21.12,87.39,28.68,86.58,18.28,91.85,27.91,89.02,32.04,86.93,11.75,97.27,19.91,96.71,29.74,93.48,34.75,5.0,0.0,,557096.0,-3.7448685,2.3071813583374023,0.03377223368206938,3.992923216933359e-07,0.019712545586590958,2.3306329595648259e-07,0.042219514470495614,4.99165323572895e-07,0.014684262030140796,1.7361342259932343e-07,0.03895777821352227,4.6060150647217147e-07
557096,2017101600.0,2928.0,10.0,85.48,23.74,85.2,25.6,84.99,26.99,85.0,22.01,84.86,20.29,87.36,28.67,86.73,23.22,86.91,25.67,86.93,11.75,86.62,18.19,78.73,23.85,85.25,11.67,84.37,28.18,84.62,23.75,85.14,30.49,84.26,32.12,86.73,23.22,86.91,25.67,89.95,21.11,87.36,28.67,86.62,18.19,91.85,27.92,89.03,32.09,86.93,11.75,97.25,19.92,96.71,29.74,93.48,34.75,5.0,0.0,,557097.0,-3.7442305,2.3057849407196045,0.03371897920313918,6.575140801067782e-08,0.01870131990947474,3.6467240253572344e-08,0.0420938517753237,8.208226014631643e-08,0.014205786453810413,2.770103020052546e-08,0.03871754762668412,7.549852727860618e-08
